UniProt_range,Length,Folding_temp,Cooperativity
J3JXS4_97_228,4,284.2336343390596,0.42857142857142855
E0W1Q9_27_158,4,293.24025352254574,0.42857142857142855
S9V0A3_17_148,4,230.90717944476674,0.0
E0VJY0_212_343,4,302.3406993629941,0.2857142857142857
E0V9F6_24_155,4,262.2323113275042,0.42857142857142855
E0VQ61_85_216,4,273.62098556117684,0.2857142857142857
E0W1Y1_54_185,4,315.25801277878514,0.42857142857142855
A0A085LVW9_38_169,4,309.0082179496231,0.42857142857142855
A0A1S3KG54_30_161,4,242.98172920766967,0.5714285714285714
M9NFF9_79_210,4,278.46515816880225,0.5714285714285714
A0A1I8NHB4_96_227,4,287.45761846817896,0.42857142857142855
A0A1S0UGL1_122_253,4,307.8607057182793,0.2857142857142857
K6UX42_814_945,4,254.6787169889265,0.7142857142857143
A0A1X7VVK6_41_172,4,285.84563385395705,0.42857142857142855
A0A1X7VQM6_41_172,4,211.72443766014842,0.42857142857142855
A0A1X7UAN4_369_500,4,210.92960660337693,0.5714285714285714
A0A1X7V2N6_7_138,4,215.1631271444588,0.2857142857142857
A0A1X7T820_1_132,4,288.5385690965052,0.5714285714285714
A0A182RDH9_27_158,4,300.6151826423145,0.5714285714285714
A9VD45_184_315,4,284.77982369867607,0.2857142857142857
A0A1X7ULC7_37_168,4,262.6988012509915,0.42857142857142855
A0A0G4F4Y2_178_309,4,279.69000894784443,0.14285714285714285
A0A061CYQ3_663_794,4,272.4647083556893,0.5714285714285714
A0A1X7V085_17_148,4,280.35118102511865,0.42857142857142855
A0A061D9T3_98_229,4,243.33620895663563,0.5714285714285714
A0A0G4FGX2_31_162,4,219.6681919657104,0.42857142857142855
A0A1X7VQ67_650_781,4,225.24533885992668,0.2857142857142857
T1J3B5_27_158,4,282.91360294814183,0.42857142857142855
A0A1I8NVD5_27_158,4,289.3534749516874,0.2857142857142857
A0A0B2V594_36_167,4,287.69209976898856,0.5714285714285714
A0A183TVT7_44_175,4,269.87913183997557,0.5714285714285714
A0A087T6M4_27_158,4,296.3742154971486,0.42857142857142855
A2E340_272_403,4,395.1643898941594,0.7142857142857143
A2GG09_272_403,4,287.7821020726511,0.2857142857142857
A2DEC2_274_405,4,200.14766674397637,0.42857142857142855
A2DS01_1_132,4,298.38248103369585,0.42857142857142855
A2FAK8_35_166,4,241.32674039072083,0.42857142857142855
A2E8I8_265_396,4,259.3938110006354,0.2857142857142857
A2EQW8_332_463,4,212.53605425977563,0.2857142857142857
A2DSU1_338_469,4,433.23185717955266,1.0
A2F700_186_317,4,203.2980806066528,0.14285714285714285
A2G7L7_11_142,4,339.08921863762816,0.2857142857142857
A2E8I6_11_142,4,343.2999536500549,0.42857142857142855
A2DFF2_1_132,4,363.3292828681074,0.7142857142857143
A2F2M4_55_186,4,307.5874487808332,0.14285714285714285
A2G1V9_197_328,4,365.0120673853221,0.7142857142857143
A2EV79_41_172,4,364.1214902614442,0.5714285714285714
A2F8L3_305_436,4,348.52441979118134,0.8571428571428571
T1ISQ5_52_183,4,301.6695260503442,0.5714285714285714
A2E9D2_339_470,4,272.4426064296188,0.14285714285714285
A2EVH3_154_285,4,339.9909266426672,0.5714285714285714
A2EI10_242_373,4,324.36870195647936,0.5714285714285714
A2DRZ7_92_223,4,377.1138597325714,0.7142857142857143
A2DYI3_318_449,4,373.799110080453,0.7142857142857143
A2G1H5_195_326,4,351.7710327924778,0.5714285714285714
A2EZL8_305_436,4,355.3679352710913,0.7142857142857143
A2DS52_18_149,4,306.41039423702097,0.42857142857142855
A2E6Z2_39_170,4,337.1453119320007,0.42857142857142855
T1JHF0_101_232,4,275.94537279472496,0.7142857142857143
A2DKG6_37_168,4,364.35656477172284,0.8571428571428571
A2DWV4_163_294,4,279.2637689225234,0.42857142857142855
A2EU43_9_140,4,361.165949528828,0.7142857142857143
A2D8V6_34_165,4,275.4411167968603,0.42857142857142855
A2E8M9_276_407,4,343.5070347694069,0.42857142857142855
A2EGC4_201_332,4,417.6546570836441,0.7142857142857143
A2G120_147_278,4,361.17635138044136,0.7142857142857143
A0A183UV96_67_198,4,300.2225072007835,0.5714285714285714
A2FLZ2_173_304,4,236.10772035071892,0.2857142857142857
A2DWW0_110_241,4,356.33866020886086,0.7142857142857143
A2EE98_165_296,4,407.21421204320296,0.8571428571428571
A2DIM7_309_440,4,320.93758376486124,0.5714285714285714
A2ED40_74_205,4,293.4028736793728,0.42857142857142855
A2FA28_20_151,4,301.93523209129313,0.42857142857142855
A2GCC8_12_143,4,251.9490822465862,0.2857142857142857
A2DQM0_272_403,4,399.00227458439787,0.7142857142857143
A2G035_46_177,4,228.89464217554195,0.5714285714285714
A2DYX7_298_429,4,297.45620269646474,0.42857142857142855
A2EUU0_307_438,4,273.8219093775065,0.5714285714285714
A2DPN2_12_143,4,393.34764610610466,0.7142857142857143
A2FJV2_22_153,4,253.84012759128558,0.2857142857142857
A2EC98_316_447,4,389.09302899459067,0.5714285714285714
A2DI16_263_394,4,325.6619973003234,0.42857142857142855
A2DMI2_271_402,4,288.45425415538483,0.8571428571428571
A2G823_178_309,4,317.9973683270188,0.42857142857142855
A2EBP0_266_397,4,255.27183453622848,0.14285714285714285
A2F9J5_1_132,4,282.5040743175886,0.5714285714285714
A2FNL9_306_437,4,326.49634309264803,0.8571428571428571
A2EXC6_148_279,4,234.83505095943775,0.7142857142857143
A2DZ54_165_296,4,382.3410709327857,0.7142857142857143
A2FC39_38_169,4,214.8008002510724,0.14285714285714285
A0A0B2VYH9_25_156,4,300.2109292581244,0.5714285714285714
A0A087UP38_34_165,4,308.7316639952371,0.8571428571428571
A2DUH4_272_403,4,329.8507670415871,0.5714285714285714
A2F665_178_309,4,299.2098334070332,1.0
A2DWN8_185_316,4,222.0150365150429,0.2857142857142857
A2E4U9_309_440,4,217.49843750283955,0.42857142857142855
A2F0D8_305_436,4,355.74068323578484,0.5714285714285714
A2FLQ8_55_186,4,313.2564017818885,0.2857142857142857
A2DIB1_17_148,4,382.8488734811242,0.5714285714285714
A2FSM5_55_186,4,330.45409375474463,0.42857142857142855
A0A183TXF0_36_167,4,287.9095158234663,0.7142857142857143
A2E9Q5_132_263,4,432.6481228352147,0.7142857142857143
A2FH09_254_385,4,216.79083091914575,0.0
A2DVP6_6_137,4,363.69202200333115,0.7142857142857143
A2DP86_25_156,4,423.7495951311103,0.5714285714285714
A2E767_41_172,4,286.0422376264729,0.5714285714285714
A2DY78_277_408,4,378.5904931602826,0.7142857142857143
A2DAF5_55_186,4,332.96960870025686,0.42857142857142855
A2EW12_10_141,4,303.4450810701112,0.5714285714285714
A2F2U8_18_149,4,273.9681669197784,0.2857142857142857
